fromScene,toScene,storyReturn,positionJump,boundaryVelocityDelta,activeVelocityDelta,directionFlip,pass,reasons
1,2,False,0.0,0.009999999999999953,0.10999999999999781,False,True,[]
2,3,False,0.0,2.7755575615628914e-16,0.0,False,True,[]
3,4,False,0.0,0.0033333333333327997,0.10999999999999303,False,True,[]
4,5,True,0.0,0.0,0.029999999999996668,True,True,[]
5,6,False,0.0,0.0033333333333330495,0.06000000000000494,False,True,[]
6,7,False,0.0,0.0033333333333331328,0.029999999999996668,False,True,[]
7,8,False,0.0,0.0033333333333364634,0.029999999999996668,False,True,[]
8,9,False,0.0,0.003333333333332883,0.06000000000000166,False,True,[]
9,10,True,0.0,0.0,0.02000000000000061,True,True,[]
10,11,False,0.0,0.003333333333333001,0.029999999999999447,False,True,[]
11,12,False,0.0,0.006666666666666016,0.02999999999999975,False,True,[]
12,13,False,0.0,1.7208456881689926e-15,0.009999999999998871,False,True,[]
13,14,False,0.0,3.83026943495679e-15,0.009999999999998871,False,True,[]
14,15,False,0.0,0.006666666666665849,0.03000000000000283,False,True,[]
15,16,False,0.0,0.0033333333333329315,0.030000000000007774,False,True,[]
16,17,True,0.0,0.0,0.020000000000008882,True,True,[]
17,18,False,0.0,0.006666666666666057,0.08999999999999002,False,True,[]
18,19,False,0.0,3.913536161803677e-15,0.0,False,True,[]
19,20,False,0.0,0.006666666666667653,0.08999999999999524,False,True,[]
20,21,True,0.0,0.0,0.02000000000000333,True,True,[]
21,22,False,0.0,0.003333333333331124,0.00999999999999889,False,True,[]
22,23,False,0.0,0.003333333333333001,0.009999999999998892,False,True,[]
23,24,False,0.0,0.003333333333331169,0.01999999999999723,False,True,[]
24,25,False,0.0,1.7763568394002505e-15,5.551115123125783e-15,False,True,[]
25,26,False,0.0,3.608224830031759e-15,1.0852430065710905e-14,False,True,[]
26,27,False,0.0,8.326672684688674e-17,1.1102230246251565e-14,False,True,[]
27,28,False,0.0,0.0033333333333329038,0.019999999999992094,False,True,[]
28,29,False,0.0,0.0033333333333329315,0.010000000000009952,False,True,[]
29,30,False,0.0,0.003333333333336656,0.00999999999999889,False,True,[]
30,31,True,0.0,0.0,0.019999999999997794,True,True,[]
31,32,False,0.0,1.214306433183765e-17,0.00999999999999889,False,True,[]
32,33,False,0.0,0.0033333333333367063,0.015000000000003719,False,True,[]
33,34,False,0.0,0.0033333333333330356,0.010000000000009598,False,True,[]
34,35,False,0.0,3.608224830031759e-15,0.009999999999998899,False,True,[]
35,36,False,0.0,8.326672684688674e-17,6.938893903907228e-16,False,True,[]
36,37,False,0.0,8.326672684688674e-17,0.009999999999998899,False,True,[]
37,38,False,0.0,0.003333333333331051,0.010000000000004436,False,True,[]
38,39,False,0.0,0.003333333333331079,0.014999999999999639,False,True,[]
39,40,False,0.0,1.214306433183765e-17,0.010000000000001624,False,True,[]
40,41,True,0.0,0.0,0.019999999999999196,True,True,[]
41,42,False,0.0,9.124645483638005e-16,0.010000000000001666,False,True,[]
42,43,False,0.0,1.887379141862766e-15,0.010000000000001806,False,True,[]
43,44,False,0.0,1.915134717478395e-15,0.010000000000004436,False,True,[]
44,45,False,0.0,8.326672684688674e-17,4.163336342344337e-16,False,True,[]
45,46,False,0.0,9.71445146547012e-17,0.0,False,True,[]
46,47,False,0.0,8.326672684688674e-17,0.0,False,True,[]
47,48,False,0.0,3.622102617839573e-15,0.009999999999998885,False,True,[]
48,49,False,0.0,3.740063814205996e-15,0.010000000000009994,False,True,[]
49,50,False,0.0,3.689756833402669e-15,0.00999999999999889,False,True,[]
50,51,True,0.0,0.0,0.019999999999997808,True,True,[]
51,52,False,0.0,0.0033333333333366803,0.009999999999998945,False,True,[]
52,53,False,0.0,0.0033333333333329246,0.015000000000003955,False,True,[]
53,54,False,0.0,0.003333333333336727,0.01999999999999777,False,True,[]
